district,no_of_rooms,floor_area_sqm,remaining_lease,resale_price
13,3,68,59,280000
13,3,67,67,286000
13,3,67,67,308000
13,3,67,69,322000
13,3,67,95,368000
13,3,59,59,240000
13,3,61,58,250000
13,3,59,62,260000
13,3,59,59,265000
13,3,64,70,270000
13,3,64,69,278000
13,3,61,58,278000
13,3,65,60,280000
13,3,64,69,281000
13,3,65,60,283000
13,3,67,69,293000
13,3,67,67,305000
13,3,67,67,312000
13,3,67,67,316000
14,3,67,66,320000
14,3,65,59,228000
14,3,59,62,240000
14,3,65,60,243000
14,3,66,58,245000
14,3,61,58,250000
14,3,68,53,255000
14,3,65,59,256800
14,3,66,58,260000
14,3,66,58,265000
14,3,64,70,265000
14,3,67,55,270000
14,3,61,58,275000
14,3,68,62,280000
14,3,65,61,280000
14,3,67,69,285000
14,3,67,68,285000
14,3,65,59,290000
14,3,67,67,295000
14,3,65,60,297000
15,3,67,66,299000
15,3,67,67,316000
15,3,59,59,232500
15,3,59,59,255000
15,3,66,58,260000
15,3,61,57,263000
15,3,65,59,273000
15,3,67,55,276000
15,3,67,67,280000
15,3,68,66,285000
15,3,67,67,290000
15,3,67,68,293000
15,3,67,66,310000
15,3,67,67,312000
15,3,67,95,338000
15,3,59,61,237000
15,3,61,57,245000
15,3,68,53,248000
15,3,59,61,250000
15,3,65,59,250000
15,3,65,61,253000
15,3,61,57,258000
15,3,65,60,263000
15,3,67,55,264000
15,3,67,68,272000
15,3,64,68,275000
15,3,67,68,286000
15,3,67,65,303000
15,3,67,68,330000
15,3,65,60,252000
15,3,67,54,260000
15,3,61,57,260000
15,3,59,61,263000
15,3,59,59,265000
15,3,65,60,265000
15,3,65,59,270000
15,3,67,69,272000
15,3,67,66,318000
4,3,67,66,320000
4,3,67,66,338000
4,3,67,95,339888
4,3,59,59,235000
4,3,59,61,235000
4,3,59,61,250000
4,3,68,53,255000
4,3,67,54,255000
4,3,65,60,260000
4,3,68,61,262000
4,3,64,68,265000
4,3,59,61,270000
4,3,65,59,270000
4,3,64,68,270000
4,3,67,55,273000
4,3,68,59,280000
4,3,65,60,280000
4,3,64,68,280000
4,3,67,55,285000
4,3,67,66,300000
4,3,67,66,300000
4,3,67,66,306000
4,3,67,66,310000
4,3,67,95,355000
4,3,67,95,360000
4,3,65,60,243000
4,3,59,61,260000
4,3,65,60,260000
4,3,65,58,260000
4,3,64,69,263000
4,3,61,57,265000
4,3,59,61,268000
4,3,66,57,268888
4,3,68,59,270000
4,3,65,59,270000
4,3,65,60,275000
4,3,65,59,290000
4,3,67,66,290000
4,3,69,95,326888
4,3,67,95,330000
4,3,67,66,335000
4,3,69,95,368000
4,3,69,95,375000
4,3,59,58,246000
4,3,59,61,265000
4,3,59,61,265000
4,3,59,61,270000
4,3,65,59,280000
4,3,65,60,293000
4,3,65,59,250000
4,3,67,68,300000
4,3,67,95,356000
4,3,67,95,338000
4,3,67,95,315000
4,3,67,95,343000
4,3,61,57,245000
4,3,61,57,260000
4,3,61,57,250000
4,3,65,59,240000
4,3,65,60,250000
4,3,59,61,260000
4,3,59,61,270000
4,3,65,60,271000
4,3,64,68,275000
4,3,61,57,285000
4,3,65,59,300000
4,3,67,68,319000
4,3,67,66,345000
4,3,67,95,353000
4,3,59,61,240000
4,3,59,61,250000
4,3,64,69,260000
4,3,68,58,261000
4,3,59,61,268000
4,3,67,68,273000
4,3,67,65,300000
4,3,67,65,305000
4,3,65,59,228000
4,3,59,61,250000
4,3,65,59,250000
4,3,65,59,250000
4,3,59,58,260000
4,3,64,69,263000
4,3,59,61,265000
4,3,65,60,275000
4,3,59,61,277000
4,3,65,59,278000
4,3,65,60,295000
4,3,67,66,295000
4,3,64,93,338000
4,3,68,53,240000
4,3,65,59,245000
4,3,59,58,255000
4,3,59,61,260000
4,3,65,59,260000
4,3,59,61,265000
4,3,59,58,268000
4,3,64,69,268000
4,3,66,57,270000
4,3,59,58,272000
4,3,61,57,275000
4,3,67,65,280000
4,3,67,68,295000
4,3,67,94,340000
4,3,67,94,342000
4,3,67,94,360000
4,3,67,94,370000
4,2,60,91,250000
4,3,59,58,245000
4,3,66,57,250000
4,3,66,57,250000
4,3,65,60,252000
4,3,65,59,260000
4,3,67,54,260000
4,3,59,58,265000
4,3,65,60,265000
4,3,59,58,268000
4,3,65,60,271888
4,3,69,61,275000
4,3,68,61,280000
4,3,64,68,285000
4,3,67,66,285000
4,3,67,67,295000
4,3,67,68,308000
4,3,62,92,350000
4,3,66,57,235000
4,3,65,59,240000
4,3,66,57,240000
4,3,59,61,243000
4,3,65,60,250000
4,3,59,61,250000
4,3,59,58,258000
4,3,67,53,265000
4,3,67,53,268000
4,3,65,60,270000
4,3,64,68,270000
4,3,67,54,274000
4,3,67,67,280000
4,3,67,66,288000
4,3,67,66,292000
4,3,67,66,295000
4,3,67,67,297000
4,3,67,67,302000
4,3,67,65,308000
4,3,64,69,220000
4,3,66,57,240000
4,3,61,56,240000
4,3,59,61,240500
4,3,59,58,246000
4,3,59,61,248000
4,3,65,58,250000
4,3,59,58,250000
4,3,67,53,250000
4,3,59,61,255000
4,3,59,61,265000
4,3,61,56,265000
4,3,67,65,280000
4,3,67,67,292000
4,3,67,65,295000
4,3,67,66,305000
4,3,67,64,328000
4,3,67,66,330000
4,3,59,60,240000
4,3,67,53,242000
4,3,59,60,245000
4,3,66,57,245000
4,3,59,58,247000
4,3,59,60,250000
4,3,65,60,255000
4,3,65,59,260000
4,3,65,59,261000
4,3,68,60,270000
4,3,65,60,270000
4,3,67,68,282000
4,3,67,67,290000
4,3,67,66,290000
4,3,67,66,295000
4,3,67,66,297000
4,3,67,65,310000
4,3,67,66,315000
4,3,67,66,318000
4,3,64,92,335000
4,3,64,92,346000
4,2,60,90,250000
4,2,60,90,256000
4,3,59,58,230000
4,3,61,56,237000
4,3,65,59,250000
4,3,65,59,250000
4,3,64,68,250000
4,3,65,60,255000
4,3,65,58,257000
4,3,59,60,268000
4,3,68,60,270800
4,3,68,60,273000
4,3,69,56,280000
4,3,59,60,235000
